Name on Show,Full Profile Name,Chinese Name,Company,Company English,Company Chinese,Judges Evaluation 1,Judges Evaluation 2,Judges Evaluation 3,Ranking Ep 2,Ranking Ep 4,Ranking Ep 6,Live Voting Ranking Ep 7,Ranking Ep 9 + 10,Ranking Ep 12,Live Voting Ranking Ep 13,Ranking Ep 16
Menglu Zhang,Zhang Menglu,张梦露,Hippo Film(河马影业),Hippo Film,河马影业,D,F,F,84,107,66,97,56,60,57,60
Esther Yu,Esther Yu Shuxin,虞书欣,Huace Pictures(华策影业),Huace Pictures,华策影业,D,D,D,1,1,1,48,1,1,5,1
Uah Liu,Uah Liu Yanan,刘亚楠,Huayi Brothers(华谊兄弟时尚),Huayi Brothers,华谊兄弟时尚,D,D,D,93,87,89,67,90,,,
Aishah,Aishah A Yisha,阿依莎,Love & Peace(鹭蒲印象),Love & Peace,鹭蒲印象,F,F,F,54,91,101,86,101,,,
Yan Yu,Yu Yan,喻言,Joinhall Media(嘉纳盛世),Joinhall Media,嘉纳盛世,A,A,A,30,31,21,8,15,4,4,3
Poppy Liu,Poppy Liu Haihan,刘海涵,Jaywalk Newjoy(嘉行新悦),Jaywalk Newjoy,嘉行新悦,D,F,D,102,97,106,83,106,,,
Tonkey,Tonkey Tang Keyi,唐珂伊,Jaywalk Newjoy(嘉行新悦),Jaywalk Newjoy,嘉行新悦,D,F,D,92,105,97,88,97,,,
Yealy Wang,Yealy Wang Yale,王雅乐,Jaywalk Newjoy(嘉行新悦),Jaywalk Newjoy,嘉行新悦,C,F,F,91,80,79,80,81,,,
Bubble Zhu,Bubble Zhu Linyu,朱林雨,Jaywalk Newjoy(嘉行新悦),Jaywalk Newjoy,嘉行新悦,C,C,B,62,58,47,35,45,34,21,31
Kelly Lin,Kelly Lin Weixi,林韦希,Lionheart Entertainment(莱恩娱乐),Lionheart Entertainment,莱恩娱乐,C,F,B,28,47,56,95,64,,,
Jacqueline Zhang,Jacqueline Zhang Tianxin,张天馨,Lehui Media(乐辉文化),Lehui Media,乐辉文化,B,C,C,103,96,107,36,107,,,
